species	taxid	category	citation_id	raw_chunk	extracted_doi	crossref_doi	crossref_title	crossref_container	crossref_year	crossref_score	crossref_error	pubmed_pmid	pubmed_title	pubmed_year	pubmed_score	pubmed_error	resolution_status	verification_required	review_decision	reviewer	review_date	review_notes
Hordeivirus hordei	12327	viruses	12327.1	Pring D R. Barley stripe mosaic virus infection of corn and the" aberrant ratio" genetic effect[J]. 1974.		10.1094/phyto-64-64	Barley Stripe Mosaic Virus Infection of Corn and the 'Aberrant Ratio' Genetic Effect	Phytopathology	1974								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Luteovirus mavhordei	2169984	viruses	2169984.1	Bisnieks, M., Kvarnheden, A., Turka, I., & Sigvald, R. (2006). Occurrence of barley yellow dwarf virus and cereal yellow dwarf virus in pasture grasses and spring cereals in Latvia.		10.1080/09064710500297658	Occurrence of barley yellow dwarf virus and cereal yellow dwarf virus in pasture grasses and spring cereals in Latvia	Acta Agriculturae Scandinavica, Section B - Plant Soil Science	2006								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Luteovirus mavhordei	2169984	viruses	2169984.2	Acta Agriculturae Scandinavica, Section B — Soil & Plant Science, 56(3), 171–178. https://doi.org/10.1080/09064710500297658	10.1080/09064710500297658	10.1080/09064710500297658	Occurrence of barley yellow dwarf virus and cereal yellow dwarf virus in pasture grasses and spring cereals in Latvia	Acta Agriculturae Scandinavica, Section B - Plant Soil Science	2006				About the quality of YouTube™ videos' on bladder pain syndrome in: "YouTube™ as a source of information on bladder pain syndrome: A contemporary analysis" by Morra et al., Neurourology and Urodynamics 2022;237-245. https//doi:10.1002/nau.24802.	2022	0.061		RESOLVED_DOI_INPUT	no	Correct	Gui-Feng Gao	2026-08-23	extracted_doi_kept_title_from_raw
Machlomovirus zeae	12138	viruses	12138.1	Jones RAC. (2022). Global Plant Virus Disease Pandemics. Plants		10.3390/plants10020233	Global Plant Virus Disease Pandemics and Epidemics	Plants	2021			33504044	Global Plant Virus Disease Pandemics and Epidemics.	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	title_mismatch overlap=0.62; openalex_no_doi; raw_title_abbreviated
Maize yellow stripe virus	328622	viruses	328622.1	Mahmoud A, Royer M, Granier M, et al. Evidence for a segmented genome and partial nucleotide sequences of maize yellow stripe virus, a proposed new tenuivirus[J]. Archives of virology, 2007, 152(9): 1757-1762.		10.1007/s00705-007-0980-7	Evidence for a segmented genome and partial nucleotide sequences of maize yellow stripe virus, a proposed new tenuivirus	Archives of Virology	2007								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	strict_doi_match
Marafivirus maydis	59749	viruses	59749.1	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.		10.1016/b978-0-12-801246-8.00008-1	Control of Virus Diseases in Maize	Advances in Virus Research	2014			25410107	Control of virus diseases in maize.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	strict_doi_match
Mastrevirus bourbonense	1182518	viruses	1182518.1	Oyeniran K A, Hartnady P, Claverie S, et al. How virulent are emerging maize-infecting mastreviruses?[J]. Archives of virology, 2021, 166(3): 955-959.		10.1007/s00705-020-04906-x	How virulent are emerging maize-infecting mastreviruses?	Archives of Virology	2021			33502595	How virulent are emerging maize-infecting mastreviruses?	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Mastrevirus fulleri	2557970	viruses	2557970.1	Guadie D, Tesfaye K, Knierim D, et al. Molecular analysis of maize (Zea mays L.)-infecting mastreviruses in Ethiopia reveals marked diversity of virus genomes and a novel species[J]. Virus genes, 2019, 55(3): 339-345.		10.1007/s11262-019-01655-1	Molecular analysis of maize (Zea mays L.)-infecting mastreviruses in Ethiopia reveals marked diversity of virus genomes and a novel species	Virus Genes	2019			30875007	Molecular analysis of maize (Zea mays L.)-infecting mastreviruses in Ethiopia reveals marked diversity of virus genomes and a novel species.	2019			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Mastrevirus storeyi	10821	viruses	10821.1	Santa Cruz F C, Domalanta J C, Minguez L T, et al. First report of maize streak virus affecting maize in the Philippines[J]. New Disease Reports, 2024, 50(1).		10.1002/ndr2.12302	First report of maize streak virus affecting maize in the Philippines	New Disease Reports	2024								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Polerovirus MAYMV	1856642	viruses	1856642.1	Stewart L R, Willie K. Maize yellow mosaic virus interacts with maize chlorotic mottle virus and sugarcane mosaic virus in mixed infections, but does not cause maize lethal necrosis[J]. Plant disease, 2021, 105(10): 3008-3014.		10.1094/pdis-09-20-2088-re	Maize Yellow Mosaic Virus Interacts with Maize Chlorotic Mottle Virus and Sugarcane Mosaic Virus in Mixed Infections, But Does Not Cause Maize Lethal Necrosis	Plant Disease	2021			33736468	Maize Yellow Mosaic Virus Interacts with Maize Chlorotic Mottle Virus and Sugarcane Mosaic Virus in Mixed Infections, But Does Not Cause Maize Lethal Necrosis.	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Polerovirus MYDVRMV	2170101	viruses	2170101.1	Krueger E N, Beckett R J, Gray S M, et al. The complete nucleotide sequence of the genome of Barley yellow dwarf virus-RMV reveals it to be a new Polerovirus distantly related to other yellow dwarf viruses[J]. Frontiers in Microbiology, 2013, 4: 205.		10.3389/fmicb.2013.00205	The complete nucleotide sequence of the genome of Barley yellow dwarf virus-RMV reveals it to be a new Polerovirus distantly related to other yellow dwarf viruses	Frontiers in Microbiology	2013			23888156	The complete nucleotide sequence of the genome of Barley yellow dwarf virus-RMV reveals it to be a new Polerovirus distantly related to other yellow dwarf viruses.	2013			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	strict_doi_match
Potyvirus halapensis	31742	viruses	31742.1	Stewart L R, Willie K, Wijeratne S, et al. Johnsongrass mosaic virus contributes to maize lethal necrosis in East Africa[J]. Plant disease, 2017, 101(8): 1455-1462.		10.1094/pdis-01-17-0136-re	Johnsongrass mosaic virus Contributes to Maize Lethal Necrosis in East Africa	Plant Disease	2017			30678589	Johnsongrass mosaic virus Contributes to Maize Lethal Necrosis in East Africa.	2017			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Potyvirus pennisseti	221262	viruses	221262.1	Fan Z F, Wang W J, Jiang X, et al. Natural infection of maize byPennisetum mosaic virusin China[J]. Plant pathology, 2004, 53(6).		10.1111/j.1365-3059.2004.01074.x	Natural infection of maize by Pennisetum mosaic virus in China	Plant Pathology	2004								AUTO_CANDIDATE_LOW	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Potyvirus sacchari	12224	viruses	12224.1	Jones RAC. (2021). Global Plant Virus Disease Pandemics. Plants		10.3390/plants10020233	Global Plant Virus Disease Pandemics and Epidemics	Plants	2021			33504044	Global Plant Virus Disease Pandemics and Epidemics.	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	title_mismatch overlap=0.62; openalex_no_doi; raw_title_abbreviated
Potyvirus sorghitessellati	32619	viruses	32619.1	Kannan M, Ismail I, Bunawan H. Maize dwarf mosaic virus: from genome to disease management[J]. Viruses, 2018, 10(9): 492.		10.3390/v10090492	Maize Dwarf Mosaic Virus: From Genome to Disease Management	Viruses	2018			30217014	Maize Dwarf Mosaic Virus: From Genome to Disease Management.	2018			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Potyvirus zeananus	12203	viruses	12203.1	Jones RAC. (2021). Global Plant Virus Disease Pandemics. Plants		10.3390/plants10020233	Global Plant Virus Disease Pandemics and Epidemics	Plants	2021			33504044	Global Plant Virus Disease Pandemics and Epidemics.	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	title_mismatch overlap=0.62; openalex_no_doi; raw_title_abbreviated
Potyvirus zeatessellati	115232	viruses	115232.1	Seifers D L, Salomon R, Marie-Jeanne V, et al. Characterization of a novel potyvirus isolated from maize in Israel[J]. Phytopathology, 2000, 90(5): 505-513.		10.1094/phyto.2000.90.5.505	Characterization of a Novel Potyvirus Isolated from Maize in Israel	Phytopathology®	2000			18944557	Characterization of a novel potyvirus isolated from maize in Israel.	2000			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Tenuivirus oryzaclavatae	3052763	viruses	3052763.1	MUNKVOLD G P, WHITE D G. Compendium of Corn Diseases. 4th ed. Saint Paul: The American Phytopathological Society Press, 2016.		10.1094/9780890544945	Compendium of Corn Diseases, Fourth Edition	APS Press	2016								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	title_mismatch overlap=0.32; openalex_no_doi; book_title_verified
Tenuivirus zeae	3052767	viruses	3052767.1	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.		10.1016/b978-0-12-801246-8.00008-1	Control of Virus Diseases in Maize	Advances in Virus Research	2014			25410107	Control of virus diseases in maize.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Totivirus jyukyu	1756285	viruses	1756285.1	Read D A, Featherston J, Rees D J G, et al. Diversity and distribution of Maize-associated totivirus strains from Tanzania[J]. Virus Genes, 2019, 55(3): 429-432.		10.1007/s11262-019-01650-6	Diversity and distribution of Maize-associated totivirus strains from Tanzania	Virus Genes	2019			30790190	Diversity and distribution of Maize-associated totivirus strains from Tanzania.	2019			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Tritimovirus tritici	31741	viruses	31741.1	Satyanarayana T, Roy F. The C-terminus of Wheat streak mosaic virus Coat Protein Is Involved in Differential Infection of Wheat and Maize through Host-Specific Long-Distance Transport[J]. 2014.		10.1094/mpmi-09-13-0272-r	The C-terminus of Wheat streak mosaic virus Coat Protein Is Involved in Differential Infection of Wheat and Maize through Host-Specific Long-Distance Transport	Molecular Plant-Microbe Interactions®	2014			24111920	The C-terminus of Wheat streak mosaic virus coat protein is involved in differential infection of wheat and maize through host-specific long-distance transport.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Waikavirus zeae	51354	viruses	51354.1	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.		10.1016/b978-0-12-801246-8.00008-1	Control of Virus Diseases in Maize	Advances in Virus Research	2014			25410107	Control of virus diseases in maize.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Zeavirus zeae	137556	viruses	137556.1	Louie R, Redinbaugh M G, Gordon D T, et al. Maize necrotic streak virus, a new maize virus with similarity to species of the family Tombusviridae[J]. Plant disease, 2000, 84(10): 1133-1139.		10.1094/pdis.2000.84.10.1133	Maize necrotic streak virus, a New Maize Virus with Similarity to Species of the Family Tombusviridae	Plant Disease	2000			30831907	Maize necrotic streak virus, a New Maize Virus with Similarity to Species of the Family Tombusviridae.	2000			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Agroathelia rolfsii (Sclerotium rolfsii, Athelia rolfsii)	39291	fungi	39291.1	Ahmad Y, Mirza M S, Aslam M. Collar rot of maize caused by Sclerotium rolfsii in Pakistan[J]. Pakistan Journal of Agricultural Research (Pakistan), 1988, 9(4).		10.56739/jor.v40ispecialissue.145438	Evaluation of soybean genotypes against collar rot disease caused by Sclerotium rolfsii Sacc.	Journal of Oilseeds Research	2023								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-30	title_mismatch overlap=0.39; openalex_no_doi
Alternaria alternata	5599	fungi	5599.1	Xu X, Zhang L, Yang X, et al. Alternaria spp. associated with leaf blight of maize in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(2): 572-584.		10.1094/pdis-06-21-1151-re	Alternaria spp. Associated with Leaf Blight of Maize in Heilongjiang Province, China	Plant Disease	2022			36354937	Fusarium Species Associated with Maize Leaf Blight in Heilongjiang Province, China.	2022			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Alternaria burnsii	1187904	fungi	1187904.1	Xu X, Zhang L, Yang X, et al. Alternaria spp. associated with leaf blight of maize in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(2): 572-584.		10.1094/pdis-06-21-1151-re	Alternaria spp. Associated with Leaf Blight of Maize in Heilongjiang Province, China	Plant Disease	2022			34472972	Alternaria spp. Associated with Leaf Blight of Maize in Heilongjiang Province, China.	2022			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Alternaria tenuissima	119927	fungi	119927.1	Xu X, Zhang L, Yang X, et al. Alternaria spp. associated with leaf blight of maize in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(2): 572-584.		10.1094/pdis-06-21-1151-re	Alternaria spp. Associated with Leaf Blight of Maize in Heilongjiang Province, China	Plant Disease	2022			34472972	Alternaria spp. Associated with Leaf Blight of Maize in Heilongjiang Province, China.	2022			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Ascochyta maydis	NOT_VERIFIED	fungi	NOT_VERIFIED.1	Stout G L. New fungi found on the Indian corn plant in Illinois[J]. Mycologia, 1930, 22(6): 271-287. | NCBI Taxonomy 未收录 Ascochyta maydis；与 Didymella maydis 非同一物种，TaxID 不可混用		10.1080/00275514.1930.12017012	New Fungi Found on the Indian Corn Plant in Illinois	Mycologia	1930								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Ascochyta zeae	NOT_VERIFIED	fungi	NOT_VERIFIED.1	Subedi S. A review on important maize diseases and their management in Nepal[J]. Journal of Maize Research and Development, 2015, 1(1): 28-52. | NCBI Taxonomy 未收录 Ascochyta zeae		10.3126/jmrd.v1i1.14242	A review on important maize diseases and their management in Nepal	Journal of Maize Research and Development	2015								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Aspergillus flavus	5059	fungi	5059.1	Klich M A. Aspergillus flavus: the major producer of aflatoxin[J]. Molecular plant pathology, 2007, 8(6): 713-722.		10.1111/j.1364-3703.2007.00436.x	Aspergillus flavus : the major producer of aflatoxin	Molecular Plant Pathology	2007			20507532	Aspergillus flavus: the major producer of aflatoxin.	2007			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Aspergillus glaucus	41413	fungi	41413.1	Nnebechukwu I A, Rwang N Y, Ikechi-Nwogu C G, et al. A COMPARATIVE ANALYSIS OF THE ANTIFUNGAL EFFECTS OF YEAST AND BACILLUS SUBTILIS IN THE CONTROL OF BLUE EYE MOLD DISEASE OF MAIZE AND RICE[J]. FUDMA JOURNAL OF SCIENCES, 2024, 8(6): 581-586.		10.33003/fjs-2024-0806-3130	A COMPARATIVE ANALYSIS OF THE ANTIFUNGAL EFFECTS OF YEAST AND BACILLUS SUBTILIS IN THE CONTROL OF BLUE EYE MOLD DISEASE OF MAIZE AND RICE	FUDMA JOURNAL OF SCIENCES	2024								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Aspergillus niger	5061	fungi	5061.1	Goher F, Khan F S, Saeed S, et al. First report of Aspergillus niger causing preharvest ear rot infection of maize in Pakistan[J]. Plant Disease, 2021, 105(1): 228.		10.1094/pdis-05-20-1105-pdn	First Report of Aspergillus niger Causing Preharvest Ear Rot Infection of Maize in Pakistan	Plant Disease	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Aspergillus parasiticus	5067	fungi	5067.1	Sivakaame G, Anand T, Paranidharan V, et al. Exploring Bacterial Endophytes as Potential Biocontrol Agents Against Aspergillus parasiticus Colonisation and Aflatoxin Contamination in Maize[J]. Journal of Phytopathology, 2025, 173(4): e70119.		10.1111/jph.70119	Exploring Bacterial Endophytes as Potential Biocontrol Agents Against Aspergillus parasiticus Colonisation and Aflatoxin Contamination in Maize	Journal of Phytopathology	2025								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	doi_corrected 10.1111/jph.70119/v1/review1 -> 10.1111/jph.70119; removed_review_suffix; pmid_cleared_doi_changed
Aspergillus tamarii	41984	fungi	41984.1	Okoth S, Nyongesa B, Ayugi V, et al. Toxigenic potential of Aspergillus species occurring on maize kernels from two agro-ecological zones in Kenya[J]. Toxins, 2012, 4(11): 991-1007.		10.3390/toxins4110991	Toxigenic Potential of Aspergillus Species Occurring on Maize Kernels from Two Agro-Ecological Zones in Kenya	Toxins	2012			23202303	Toxigenic potential of Aspergillus species occurring on maize kernels from two agro-ecological zones in Kenya.	2012			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Bipolaris maydis (Cochliobolus heterostrophus)	5016	fungi	5016.1	Bruns H A. Southern corn leaf blight: a story worth retelling[J]. Agronomy Journal, 2017, 109(4): 1218-1224.		10.2134/csa2017.62.0806	Southern Corn Leaf Blight: A Story Worth Retelling	CSA News	2017								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Bipolaris sorokiniana (Cochliobolus sativus)	45130	fungi	45130.1	郭宁,倪璇,石洁,等.玉米麦根腐平脐蠕孢叶斑病的发生与病原鉴定[J].植物病理学报,2017,47(1):1-8. DOI:10.13926/j.cnki.apps.000049.	10.13926/j.cnki.apps.000049	10.13926/j.cnki.apps.000049	玉米麦根腐平脐蠕孢叶斑病的发生与病原鉴定										RESOLVED_DOI_INPUT	no	Correct	Gui-Feng Gao	2026-08-25	extracted_doi_kept_title_from_raw
Bipolaris zeicola (Cochliobolus carbonum)	5017	fungi	5017.1	Tonukari N J, Scott-Craig J S, Waltonb J D. The Cochliobolus carbonum SNF1 gene is required for cell wall–degrading enzyme expression and virulence on maize[J]. The Plant Cell, 2000, 12(2): 237-247.		10.2307/3870925	The Cochliobolus Carbonum SNF1 Gene Is Required for Cell Wall-Degrading Enzyme Expression and Virulence on Maize	The Plant Cell	2000								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Botryosphaeria zeae	NOT_VERIFIED	fungi	NOT_VERIFIED.1	Bezuidenhout, Henrietta and Marasas W F O. Botryosphaeria zeae: the cause of grey ear rot of maize (Zea mays) in South Africa[J]. Phytophylactica, 1978, 10(1): 21-24. | NCBI Taxonomy 未收录 Botryosphaeria zeae		10.1007/s10343-007-0139-1	Fusarium – Problematik bei Körnermais (Zea Mays L.)	Gesunde Pflanzen	2007								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-23	title_mismatch overlap=0.10; openalex_no_doi
Botrytis cinerea	40559	fungi	40559.1	Liang Y, Bi K, Sharon A. The Botrytis cinerea transglycosylase BcCrh4 is a cell death‐inducing protein with cell death‐promoting and‐suppressing domains[J]. Plant, cell & environment, 2024, 47(1): 354-371.		10.1111/pce.14740	The Botrytis cinerea transglycosylase BcCrh4 is a cell death‐inducing protein with cell death‐promoting and ‐suppressing domains	Plant, Cell & Environment	2023			37846876	The Botrytis cinerea transglycosylase BcCrh4 is a cell death-inducing protein with cell death-promoting and -suppressing domains.	2024			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Ceratobasidium cereale (Rhizoctonia cerealis)	76351	fungi	76351.1	Tomaso-Peterson M, Trevathan L E. Characterization of Rhizoctonia-like fungi isolated from agronomic crops and turfgrasses in Mississippi[J]. Plant disease, 2007, 91(3): 260-265.		10.1094/pdis-91-3-0260	Characterization of Rhizoctonia-Like Fungi Isolated from Agronomic Crops and Turfgrasses in Mississippi	Plant Disease	2007			30780558	Characterization of Rhizoctonia-Like Fungi Isolated from Agronomic Crops and Turfgrasses in Mississippi.	2007			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Ceratocystis paradoxa/Thielaviopsis paradoxa	13001	fungi	13001.1	Kumari M, Kamat S, Dixit R, et al. Microbial formulation approaches in postharvest disease management[M]//Food security and plant disease management. Woodhead Publishing, 2021: 279-305.		10.1016/b978-0-12-821843-3.00007-6	Microbial formulation approaches in postharvest disease management	Food Security and Plant Disease Management	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Cercospora sorghi var. maydis	161743	fungi	161743.1	Crous P W, Groenewald J Z, Groenewald M, et al. Species of Cercospora associated with grey leaf spot of maize[J]. Studies in Mycology, 2006, 55(1): 189-197.		10.3114/sim.55.1.189	Species of Cercospora associated with grey leaf spot of maize	Studies in Mycology	2006			18490979	Species of Cercospora associated with grey leaf spot of maize.	2006			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	strict_doi_match
Cercospora zeae-maydis	135779	fungi	135779.1	Ward J M J, Stromberg E L, Nowell D C, et al. Gray leaf spot: a disease of global importance in maize production[J]. Plant disease, 1999, 83(10): 884-895.		10.1094/pdis.1999.83.10.884	Gray leaf Spot: A Disease of Global Importance in Maize Production	Plant Disease	1999			30841068	Gray leaf Spot: A Disease of Global Importance in Maize Production.	1999			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Cercospora zeina	348901	fungi	348901.1	Liu K J, Xu X D. First report of gray leaf spot of maize caused by Cercospora zeina in China[J]. Plant Disease, 2013, 97(12): 1656-1656.		10.1094/pdis-03-13-0280-pdn	First Report of Gray Leaf Spot of Maize Caused by Cercospora zeina in China	Plant Disease	2013			30716816	First Report of Gray Leaf Spot of Maize Caused by Cercospora zeina in China.	2013			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	strict_doi_match
Cladosporium cladosporioides	29917	fungi	29917.1	Price J L, Visagie C M, Meyer H, et al. Fungal species and mycotoxins associated with maize ear rots collected from the eastern Cape in South Africa. Toxins (Basel). 2024; 16 (2): 95[EB/OL].		10.3390/toxins16020095	Fungal Species and Mycotoxins Associated with Maize Ear Rots Collected from the Eastern Cape in South Africa	Toxins	2024			38393173	Fungal Species and Mycotoxins Associated with Maize Ear Rots Collected from the Eastern Cape in South Africa.	2024			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Cladosporium cladosporioides	29917	fungi	29917.2	杜娟,郭洁蓓,胡佳,等.枝孢菌引致的玉米叶枯病研究[J].玉米科学,2025,33(6):115-121. DOI:10.13597/j.cnki.maize.science.20250616.	10.13597/j.cnki.maize.science.20250616	10.13597/j.cnki.maize.science.20250616	枝孢菌引致的玉米叶枯病研究										RESOLVED_DOI_INPUT	no	Correct	Gui-Feng Gao	2026-08-30	extracted_doi_kept_title_from_raw
Cladosporium herbarum	29918	fungi	29918.1	Crop Protection Network (2019). Cladosporium Ear Rot of Corn.		10.31274/cc-20240624-394	Comparing Characterization Methods of Fusarium Ear Rot Resistance in Corn		2019								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-29	title_mismatch overlap=0.42; openalex_no_doi
Claviceps gigantea	89175	fungi	89175.1	Fuentes S F, De La Isla D L I, Maria De L M D L, et al. Claviceps gigantea, a new pathogen of Maize in Mexico[J]. 1964.		10.1021/acs.jafc.7b04272.s001	Ergot Alkaloid Biosynthesis in the Maize (Zea mays) Ergot Fungus Claviceps gigantea										AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-24	title_mismatch overlap=0.23; openalex_no_doi
Colletotrichum graminicola /Glomerella graminicola	31870	fungi	31870.1	Sukno S A, García V M, Shaw B D, et al. Root infection and systemic colonization of maize by Colletotrichum graminicola[J]. Applied and environmental microbiology, 2008, 74(3): 823-832.		10.1128/aem.01165-07	Root Infection and Systemic Colonization of Maize by Colletotrichum graminicola	Applied and Environmental Microbiology	2008			18065625	Root infection and systemic colonization of maize by Colletotrichum graminicola.	2008			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Curvularia aeria / Curvularia lunata var. aeria	1203437	fungi	1203437.1	Garhwal P D, Sharma S S, Dahima V, et al. Physiopathological studies, characterization and yield loss assessment of Curvularia leaf spot of maize (Zea mays)[J]. 2022.		10.56093/ijas.v92i9.123910	Physiopathological studies, characterization and yield loss assessment of Curvularia leaf spot of maize (Zea mays)	The Indian Journal of Agricultural Sciences	2022								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Curvularia australiensis	91365	fungi	91365.1	Chang J Y, Zhang H J, Shi J, et al. First report of Curvularia australiensis causing leaf spot on maize (Zea mays) in China[J]. Plant Disease, 2016, 100(8): 1780-1780.		10.1094/pdis-09-15-1096-pdn	First Report of Curvularia australiensis Causing Leaf Spot on Maize (Zea mays) in China	Plant Disease	2016								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Curvularia clavata	95742	fungi	95742.1	Mandokhot A M, Basu Chaudhary K C. A new leaf spot of maize incited by Curvularia clavata[J]. Netherlands Journal of Plant Pathology, 1972, 78(2): 65-68.		10.1007/bf02077558	A new leaf spot of maize incited by Curvularia clavata	Netherlands Journal of Plant Pathology	1972								AUTO_CANDIDATE_LOW	no	Correct	Gui-Feng Gao	2026-08-30	doi_corrected 10.1079/cabicompendium.17047 -> 10.1007/bf02077558; manual_doi_correction; pmid_cleared_doi_changed
Curvularia eragrostidis	418125	fungi	418125.1	KULKARNI S, WALI M C, HARLAPUR S I, et al. Etiology, prevalence and management of curvularia leaf spot of maize in Karnataka[J]. 2016.		10.12692/ijb/7.6.111-117	Study on etiology, incidence and severity of Southern corn leaf blight, curvularia leaf spot, sheath blight and damping off of maize	International Journal of Biosciences (IJB)	2015								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-25	title_mismatch overlap=0.36; openalex_no_doi
Curvularia geniculata(Cochliobolus geniculatus)	418126	fungi	418126.1	Manzar N, Kashyap A S, Sharma P K, et al. First report of leaf spot of maize caused by Curvularia geniculata in India[J]. Plant Disease, 2021, 105(12): 4155.		10.1094/pdis-03-21-0637-pdn	First Report of Leaf Spot of Maize Caused by Curvularia geniculata in India	Plant Disease	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	strict_doi_match
Curvularia inaequalis / Helminthosporium inaequale	38902	fungi	38902.1	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.		10.1094/pdis-10-18-1857-re	Virulence, Molecular Diversity, and Mating Type of Curvularia lunata in China	Plant Disease	2019			31107642	Virulence, Molecular Diversity, and Mating Type of Curvularia lunata in China.	2019			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
